days_until_expiry,credential_age_days,dependency_count,privilege_level,environment,historical_rotation_failures,access_frequency_per_day,risk_level
39,280,0,LOW,Production,0,35,LOW
43,215,1,LOW,Development,0,833,LOW
7,173,0,HIGH,Testing,0,372,MEDIUM
1,151,4,HIGH,Production,0,887,HIGH
128,120,5,LOW,Staging,0,469,LOW
73,350,3,MEDIUM,Production,0,180,MEDIUM
90,113,3,LOW,Production,1,799,MEDIUM
118,291,5,HIGH,Development,0,676,MEDIUM
7,288,2,ADMIN,Production,0,443,HIGH
62,57,1,MEDIUM,Testing,0,701,LOW
161,6,3,LOW,Production,0,911,MEDIUM
6,2,6,MEDIUM,Production,1,274,HIGH
50,102,1,HIGH,Testing,0,557,MEDIUM
105,158,1,ADMIN,Testing,0,585,LOW
4,244,6,LOW,Testing,0,545,MEDIUM
142,333,1,MEDIUM,Testing,1,467,LOW
66,4,0,LOW,Development,0,239,LOW
46,110,2,LOW,Development,0,908,LOW
37,182,2,MEDIUM,Production,0,751,MEDIUM
56,56,1,HIGH,Development,0,464,LOW
2,334,8,LOW,Development,1,100,HIGH
118,31,1,HIGH,Testing,0,404,LOW
75,250,1,HIGH,Staging,0,64,MEDIUM
9,272,1,MEDIUM,Production,2,87,HIGH
5,305,0,LOW,Testing,0,678,LOW
5,203,0,MEDIUM,Production,0,473,HIGH
163,38,2,HIGH,Staging,0,140,MEDIUM
41,361,1,ADMIN,Testing,3,831,HIGH
6,55,3,LOW,Production,0,293,HIGH
123,27,0,HIGH,Production,0,288,MEDIUM
78,219,2,MEDIUM,Development,0,909,LOW
26,22,1,LOW,Production,1,820,HIGH
2,287,5,LOW,Testing,0,640,MEDIUM
1,171,4,ADMIN,Production,0,690,HIGH
139,241,1,HIGH,Testing,1,476,MEDIUM
8,143,5,HIGH,Staging,2,290,HIGH
6,136,0,MEDIUM,Staging,0,358,MEDIUM
4,23,3,MEDIUM,Production,0,830,HIGH
99,170,3,HIGH,Production,0,132,HIGH
18,66,1,MEDIUM,Production,0,393,MEDIUM
20,108,2,ADMIN,Production,0,675,HIGH
61,146,2,MEDIUM,Staging,0,348,MEDIUM
6,24,1,ADMIN,Development,0,875,MEDIUM
30,125,0,MEDIUM,Production,0,919,MEDIUM
42,26,2,HIGH,Production,1,129,HIGH
22,281,2,HIGH,Production,0,887,HIGH
6,226,0,MEDIUM,Production,0,283,HIGH
45,362,1,ADMIN,Staging,0,343,MEDIUM
165,11,5,MEDIUM,Production,0,394,MEDIUM
65,113,2,ADMIN,Production,0,502,HIGH
150,319,2,MEDIUM,Development,1,611,MEDIUM
7,134,1,LOW,Production,0,339,MEDIUM
16,277,0,ADMIN,Staging,2,234,HIGH
46,319,1,HIGH,Production,0,690,MEDIUM
41,59,4,ADMIN,Development,0,323,MEDIUM
2,354,4,LOW,Development,0,718,MEDIUM
26,220,3,ADMIN,Production,0,668,HIGH
172,236,3,HIGH,Staging,0,756,MEDIUM
7,126,4,HIGH,Production,0,907,HIGH
154,94,2,HIGH,Production,0,269,HIGH
157,44,1,ADMIN,Staging,0,573,MEDIUM
3,114,2,HIGH,Production,0,684,HIGH
21,360,2,MEDIUM,Production,0,241,HIGH
14,302,7,LOW,Development,0,294,LOW
2,274,0,HIGH,Testing,0,60,HIGH
86,241,2,HIGH,Production,0,57,HIGH
62,352,0,ADMIN,Staging,0,581,MEDIUM
79,317,1,LOW,Testing,0,466,LOW
3,51,6,MEDIUM,Testing,0,221,HIGH
1,231,3,LOW,Staging,0,38,MEDIUM
120,321,2,HIGH,Staging,1,207,HIGH
3,85,4,MEDIUM,Production,0,849,HIGH
30,140,2,MEDIUM,Production,0,87,HIGH
3,346,4,ADMIN,Production,0,26,HIGH
61,143,1,HIGH,Testing,0,655,LOW
52,83,1,ADMIN,Production,0,300,MEDIUM
4,60,7,MEDIUM,Production,0,531,HIGH
34,319,4,LOW,Production,0,783,MEDIUM
22,15,7,MEDIUM,Development,0,250,MEDIUM
10,61,3,MEDIUM,Production,0,738,HIGH
46,197,1,HIGH,Staging,0,769,MEDIUM
7,2,1,ADMIN,Testing,0,606,MEDIUM
25,279,1,HIGH,Production,2,895,HIGH
3,243,3,HIGH,Development,1,400,HIGH
33,303,1,HIGH,Testing,0,870,LOW
174,39,2,MEDIUM,Production,2,351,HIGH
29,163,3,MEDIUM,Production,1,504,HIGH
127,47,2,LOW,Testing,0,653,LOW
33,151,1,LOW,Production,0,255,LOW
169,318,3,MEDIUM,Production,0,602,MEDIUM
92,239,5,MEDIUM,Development,0,166,LOW
6,155,1,ADMIN,Development,0,499,MEDIUM
93,338,1,MEDIUM,Development,0,890,LOW
80,181,1,HIGH,Production,0,261,MEDIUM
37,159,4,HIGH,Production,0,378,HIGH
6,277,5,LOW,Production,0,518,HIGH
78,240,7,HIGH,Testing,0,236,MEDIUM
2,275,0,HIGH,Testing,0,771,HIGH
11,318,5,MEDIUM,Production,0,942,HIGH
30,72,0,HIGH,Production,0,509,HIGH
60,357,6,LOW,Development,0,765,LOW
143,144,0,ADMIN,Production,0,459,MEDIUM
160,331,1,LOW,Production,0,199,LOW
44,11,0,ADMIN,Testing,0,133,LOW
26,76,4,LOW,Production,0,288,MEDIUM
175,68,0,LOW,Testing,0,248,LOW
78,33,2,LOW,Production,0,530,MEDIUM
29,16,0,MEDIUM,Production,0,416,MEDIUM
10,76,0,LOW,Production,0,653,MEDIUM
22,360,0,HIGH,Production,0,903,HIGH
22,233,1,HIGH,Production,0,325,HIGH
2,44,0,HIGH,Production,0,761,HIGH
29,341,6,LOW,Staging,0,942,MEDIUM
37,80,3,ADMIN,Production,0,115,HIGH
45,319,3,MEDIUM,Staging,0,31,MEDIUM
42,159,6,HIGH,Production,0,190,HIGH
172,47,3,MEDIUM,Testing,0,434,LOW
101,80,1,LOW,Production,0,695,LOW
27,263,0,MEDIUM,Development,0,295,LOW
141,29,0,MEDIUM,Production,0,221,MEDIUM
31,90,0,HIGH,Production,0,240,MEDIUM
20,236,6,HIGH,Production,1,594,HIGH
3,167,1,MEDIUM,Production,2,476,HIGH
46,269,0,ADMIN,Production,1,768,HIGH
71,100,5,MEDIUM,Staging,0,749,MEDIUM
5,309,1,HIGH,Testing,0,82,HIGH
26,290,3,HIGH,Development,3,335,HIGH
61,141,2,HIGH,Testing,0,80,MEDIUM
173,47,3,MEDIUM,Staging,0,478,MEDIUM
89,165,3,ADMIN,Production,0,68,HIGH
2,363,2,HIGH,Production,0,540,HIGH
80,27,4,MEDIUM,Production,0,72,MEDIUM
175,309,5,MEDIUM,Staging,0,601,MEDIUM
12,193,3,ADMIN,Production,0,135,HIGH
73,10,1,HIGH,Production,0,224,MEDIUM
12,52,2,HIGH,Staging,0,761,HIGH
5,355,4,LOW,Testing,1,174,MEDIUM
70,230,1,LOW,Production,0,833,LOW
29,145,4,ADMIN,Production,0,433,HIGH
16,191,2,HIGH,Testing,0,871,MEDIUM
5,224,0,LOW,Production,1,841,HIGH
9,198,8,MEDIUM,Production,0,33,HIGH
12,242,3,LOW,Staging,0,727,MEDIUM
44,312,2,HIGH,Production,0,300,HIGH
28,57,4,LOW,Staging,0,553,MEDIUM
58,124,2,MEDIUM,Development,0,689,LOW
1,199,8,ADMIN,Development,0,21,HIGH
4,181,2,LOW,Staging,1,184,MEDIUM
3,235,0,HIGH,Production,0,815,HIGH
2,332,1,LOW,Development,0,804,MEDIUM
58,198,1,HIGH,Development,0,713,LOW
3,309,8,ADMIN,Production,0,305,HIGH
59,86,3,LOW,Staging,0,48,LOW
3,327,2,ADMIN,Production,0,772,HIGH
7,331,1,ADMIN,Production,0,585,HIGH
59,272,1,LOW,Development,0,290,LOW
140,61,1,LOW,Staging,0,461,LOW
108,232,1,HIGH,Staging,0,94,MEDIUM
35,154,5,ADMIN,Production,0,722,HIGH
5,253,0,HIGH,Production,0,382,HIGH
141,246,2,ADMIN,Production,0,848,HIGH
60,66,5,LOW,Production,0,660,MEDIUM
89,266,1,HIGH,Production,0,335,MEDIUM
47,283,1,LOW,Testing,0,634,LOW
73,310,1,MEDIUM,Production,2,47,HIGH
28,328,0,LOW,Production,1,563,MEDIUM
29,353,0,ADMIN,Staging,0,500,MEDIUM
135,67,4,MEDIUM,Production,0,113,HIGH
2,197,5,MEDIUM,Staging,0,891,HIGH
14,264,2,HIGH,Testing,1,514,HIGH
15,26,1,ADMIN,Development,0,868,MEDIUM
108,188,4,MEDIUM,Production,0,415,MEDIUM
10,282,1,MEDIUM,Development,3,701,HIGH
81,188,4,LOW,Production,0,526,MEDIUM
52,77,3,LOW,Production,0,340,MEDIUM
52,273,2,MEDIUM,Testing,0,491,LOW
68,353,3,MEDIUM,Production,0,276,MEDIUM
5,323,3,HIGH,Testing,0,394,HIGH
14,78,2,HIGH,Development,0,518,MEDIUM
4,167,8,ADMIN,Production,0,390,HIGH
53,349,3,LOW,Staging,0,629,LOW
50,354,3,ADMIN,Production,0,362,HIGH
38,195,5,ADMIN,Production,0,358,HIGH
17,227,3,HIGH,Testing,0,224,MEDIUM
37,123,1,MEDIUM,Staging,0,548,LOW
1,71,0,LOW,Staging,0,166,MEDIUM
28,331,0,ADMIN,Production,0,672,HIGH
113,19,8,MEDIUM,Production,0,512,MEDIUM
50,172,1,HIGH,Development,3,561,HIGH
16,235,3,ADMIN,Production,0,19,HIGH
172,219,2,HIGH,Production,0,690,HIGH
15,229,4,ADMIN,Development,2,314,HIGH
46,239,1,MEDIUM,Production,0,519,MEDIUM
28,114,1,ADMIN,Testing,0,161,MEDIUM
66,341,4,ADMIN,Production,0,701,HIGH
1,289,0,ADMIN,Production,1,929,HIGH
18,349,1,MEDIUM,Production,0,98,MEDIUM
12,30,2,MEDIUM,Testing,0,320,MEDIUM
26,359,0,MEDIUM,Production,3,920,HIGH
42,331,7,ADMIN,Development,0,917,MEDIUM
175,69,3,ADMIN,Staging,0,187,MEDIUM
93,238,3,MEDIUM,Testing,0,549,LOW
115,58,0,LOW,Staging,0,634,LOW
35,229,2,ADMIN,Production,0,54,HIGH
5,149,1,LOW,Staging,1,594,MEDIUM
109,267,1,MEDIUM,Staging,0,67,LOW
74,25,7,MEDIUM,Production,2,692,HIGH
21,276,2,MEDIUM,Staging,1,312,HIGH
57,69,1,LOW,Testing,0,343,LOW
2,194,3,ADMIN,Production,0,899,HIGH
23,8,1,HIGH,Development,0,764,MEDIUM
30,123,2,ADMIN,Development,0,394,MEDIUM
19,241,4,HIGH,Production,0,213,HIGH
32,300,2,MEDIUM,Staging,0,161,MEDIUM
174,173,1,LOW,Development,1,745,LOW
13,278,8,MEDIUM,Production,2,541,HIGH
57,119,0,HIGH,Development,0,228,LOW
3,283,2,MEDIUM,Production,0,744,HIGH
37,124,1,ADMIN,Staging,0,839,MEDIUM
6,357,1,HIGH,Staging,0,873,HIGH
10,244,0,ADMIN,Development,0,180,MEDIUM
103,22,1,HIGH,Development,1,713,MEDIUM
126,289,3,MEDIUM,Testing,0,875,LOW
141,154,1,ADMIN,Staging,0,859,MEDIUM
79,353,3,HIGH,Production,0,359,HIGH
169,204,7,MEDIUM,Development,0,654,LOW
19,349,2,ADMIN,Staging,0,795,HIGH
10,325,1,HIGH,Production,0,374,HIGH
2,45,1,LOW,Development,0,573,MEDIUM
36,167,5,LOW,Production,0,428,MEDIUM
64,87,0,LOW,Staging,0,509,LOW
17,127,3,LOW,Development,0,636,LOW
20,169,2,LOW,Development,0,848,LOW
6,161,1,ADMIN,Testing,0,331,MEDIUM
55,202,1,HIGH,Staging,2,209,HIGH
22,150,4,MEDIUM,Production,0,873,HIGH
5,79,3,MEDIUM,Production,0,80,HIGH
25,19,4,MEDIUM,Production,0,921,HIGH
15,332,3,MEDIUM,Production,0,665,HIGH
7,262,3,MEDIUM,Production,0,709,HIGH
68,177,8,MEDIUM,Production,0,307,MEDIUM
19,106,2,ADMIN,Production,0,104,HIGH
2,176,3,HIGH,Production,0,173,HIGH
41,237,1,HIGH,Testing,0,193,MEDIUM
27,220,1,HIGH,Development,0,215,MEDIUM
25,235,0,HIGH,Staging,0,506,MEDIUM
3,181,4,HIGH,Production,0,838,HIGH
3,157,0,HIGH,Production,0,149,HIGH
42,356,5,MEDIUM,Production,2,182,HIGH
84,184,6,MEDIUM,Production,0,204,MEDIUM
21,228,2,ADMIN,Production,0,36,HIGH
6,235,2,LOW,Production,0,512,HIGH
83,22,4,LOW,Production,0,228,MEDIUM
17,179,5,LOW,Testing,0,891,MEDIUM
135,313,3,HIGH,Testing,0,147,MEDIUM
48,166,7,HIGH,Production,0,591,HIGH
143,142,5,ADMIN,Staging,0,891,MEDIUM
5,324,1,LOW,Development,0,467,LOW
78,189,2,HIGH,Development,0,600,MEDIUM
71,33,4,HIGH,Development,0,444,MEDIUM
6,249,4,MEDIUM,Production,1,785,HIGH
11,1,8,LOW,Development,0,710,LOW
16,43,1,ADMIN,Testing,1,174,MEDIUM
72,1,1,HIGH,Development,0,612,LOW
106,217,3,HIGH,Staging,0,239,MEDIUM
4,69,3,HIGH,Staging,0,75,HIGH
53,78,5,LOW,Production,0,458,MEDIUM
11,220,1,LOW,Testing,0,288,LOW
175,106,2,LOW,Production,0,770,MEDIUM
20,305,0,HIGH,Staging,1,17,HIGH
